                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.77699,                 0.5011,                 1.0547,                0.86843,                0.72721,                0.83004,                0.61555,                0.99343,                0.70913,                  1.313,              0.0012104,              0.0012104,              0.0012104
                     85,                   0.78,                0.48858,                 1.0255,                0.83964,                0.79602,                0.83782,                0.62365,                0.96458,                0.69263,                 1.3192,              0.0012049,              0.0012049,              0.0012049
                     86,                0.76373,                 0.4718,                 1.0259,                0.86872,                0.73991,                0.81794,                0.60506,                 1.0047,                0.73356,                 1.3387,              0.0011994,              0.0011994,              0.0011994
                     87,                0.75542,                 0.4774,                 1.0415,                0.83884,                0.77061,                0.83207,                0.61106,                0.99165,                0.71295,                 1.3219,              0.0011939,              0.0011939,              0.0011939
                     88,                0.79528,                0.49243,                  1.036,                0.82992,                0.77095,                0.82691,                0.61044,                 1.0277,                0.71547,                 1.3179,              0.0011884,              0.0011884,              0.0011884
                     89,                0.76656,                0.48457,                 1.0321,                0.87019,                0.72586,                 0.8241,                0.60326,                 1.0356,                0.75309,                 1.3239,              0.0011829,              0.0011829,              0.0011829
                     90,                0.76956,                0.49345,                 1.0331,                0.90487,                0.71446,                 0.8293,                0.61991,                0.97755,                0.73015,                  1.307,              0.0011774,              0.0011774,              0.0011774
                     91,                0.75783,                0.46981,                 1.0207,                0.85654,                0.74292,                0.82316,                0.61784,                0.97898,                0.70053,                 1.3148,              0.0011719,              0.0011719,              0.0011719
                     92,                 0.7836,                0.48154,                 1.0371,                0.86111,                0.77052,                0.82951,                0.62465,                 0.9597,                 0.6999,                 1.2917,              0.0011664,              0.0011664,              0.0011664
                     93,                0.77244,                0.47328,                 1.0159,                0.87372,                0.74663,                0.81689,                0.61385,                0.97455,                0.75106,                 1.2996,              0.0011609,              0.0011609,              0.0011609
